Url,Song,Band
/lyric/1026380/Fred+Small/Face+at+the+Window,Face at the Window,Fred Small
/lyric/1026377/Fred+Small/The+Heart+of+the+Appaloosa,The Heart of the Appaloosa,Fred Small
/lyric/1026386/Fred+Small/Larry+the+Polar+Bear,Larry the Polar Bear,Fred Small
/lyric/1026385/Fred+Small/No+More+Vietnams,No More Vietnams,Fred Small
/lyric/1026381/Fred+Small/Peace+Is,Peace Is,Fred Small
/lyric/1026378/Fred+Small/Talking+Wheelchair+Blues,Talking Wheelchair Blues,Fred Small
/lyric/1026379/Fred+Small/Willie%27s+Song,Willie's Song,Fred Small
/lyric/1026129/Fred+Small/Big+Italian+Rose,Big Italian Rose,Fred Small
/lyric/1026133/Fred+Small/Cranes+over+Hiroshima,Cranes over Hiroshima,Fred Small
/lyric/1026132/Fred+Small/Everything+Possible,Everything Possible,Fred Small
/lyric/1026135/Fred+Small/Leslie+Is+Different,Leslie Is Different,Fred Small
/lyric/935214/Fred+Small/Denmark+1943,Denmark 1943,Fred Small
/lyric/935209/Fred+Small/I+Will+Stand+Fast,I Will Stand Fast,Fred Small
/lyric/935211/Fred+Small/If+I+Were+a+Moose,If I Were a Moose,Fred Small
/lyric/935213/Fred+Small/Scott+and+Jamie,Scott and Jamie,Fred Small
/lyric/1056230/Fred+Small/All+the+Time+in+the+World,All the Time in the World,Fred Small
/lyric/1056228/Fred+Small/The+Distance,The Distance,Fred Small
/lyric/1056223/Fred+Small/Gravity,Gravity,Fred Small
/lyric/1056225/Fred+Small/I+Didn%27t+Know,I Didn't Know,Fred Small
/lyric/1056220/Fred+Small/Jaguar,Jaguar,Fred Small
/lyric/1056224/Fred+Small/The+Last+Time+I+Had+Autumn,The Last Time I Had Autumn,Fred Small
/lyric/1056227/Fred+Small/Light+in+the+Hall,Light in the Hall,Fred Small
/lyric/1056229/Fred+Small/Mistaken+Identity,Mistaken Identity,Fred Small
/lyric/1056221/Fred+Small/Simple+Living,Simple Living,Fred Small
/lyric/1056222/Fred+Small/Warlords,Warlords,Fred Small
/lyric/6429948/Fred+Small/Not+in+Our+Town,Not in Our Town,Fred Small
/lyric/18244550/Fred+Sokolow/Blue+Turning+Grey+Over+You,Blue Turning Grey Over You,Fred Sokolow
/lyric/18244547/Fred+Sokolow/Keepin%27+out+of+Mischief+Now,Keepin' out of Mischief Now,Fred Sokolow
/lyric/32802641/Fred+Sokolow/Please+Please+Me,Please Please Me,Fred Sokolow
/lyric/24329363/Fred+Stark/Here%2C+There+and+Everywhere,"Here, There and Everywhere",Fred Stark
/lyric/1576752/Fred+Stride/The+Song+is+You,The Song is You,Fred Stride
/lyric/28843491/Fred+Thomas/Don%27t+Worry,Don't Worry,Fred Thomas
/lyric/3304726/Fred+Travers/I%27ll+Follow+the+Sun,I'll Follow the Sun,Fred Travers
/lyric/1516286/Fred+Waring/Farewell+Blues,Farewell Blues,Fred Waring
